N	Z	A	EL	BE	BEd	MASS	MASSd
8	7	15	N	7699.460	0.000	15000108.89894	0.00065
7	8	15	O	7463.692	0.033	15003065.618	0.526
6	9	15	F	6497.459	0.933	15017785.139	15.029
5	10	15	Ne	4868.728	4.446	15043172.980	71.588
12	4	16	Be	4285.285	10.362	16061672.036	177.990
11	5	16	B	5507.302	1.536	16039841.920	26.375
10	6	16	C	6922.054	0.224	16014701.256	3.840
9	7	16	N	7373.796	0.144	16006101.925	2.470
8	8	16	O	7976.206	0.000	15994914.61960	0.00017
7	9	16	F	6963.731	0.520	16011465.723	8.932
6	10	16	Ne	6083.177	1.280	16025750.864	21.986
12	5	17	B	5269.667	12.006	17046931.399	219.114
11	6	17	C	6558.024	1.021	17022578.672	18.641
10	7	17	N	7286.229	0.882	17008448.877	16.103
9	8	17	O	7750.728	0.000	16999131.75664	0.00070
8	9	17	F	7542.328	0.015	17002095.238	0.266
7	10	17	Ne	6640.499	0.021	17017713.959	0.380
6	11	17	Na	5496.080	58.903	17037760.000	1075.000
13	5	18	B	4976.630	11.342	18055601.682	219.180
12	6	18	C	6426.131	1.667	18026751.932	32.206
11	7	18	N	7038.562	1.032	18014077.565	19.935
10	8	18	O	7767.097	0.000	17999159.61284	0.00076
9	9	18	F	7631.638	0.026	18000937.325	0.497
8	10	18	Ne	7341.257	0.020	18005708.693	0.390
7	11	18	Na	6202.217	5.216	18026879.386	100.785
14	5	19	B	4719.634	27.651	19064166.000	564.000
13	6	19	C	6118.273	5.178	19034797.596	105.625
12	7	19	N	6948.543	0.863	19017022.419	17.610
11	8	19	O	7566.495	0.139	19003577.970	2.830
10	9	19	F	7779.018	0.000	18998403.16288	0.00093
9	10	19	Ne	7567.343	0.008	19001880.903	0.171
8	11	19	Na	6937.885	0.554	19013880.272	11.309
7	12	19	Mg	5902.025	2.632	19034169.182	53.678
15	5	20	B	4453#	40#	20073484#	859#
14	6	20	C	5961.435	11.531	20040261.732	247.585
13	7	20	N	6709.171	3.945	20023367.295	84.696
12	8	20	O	7568.570	0.044	20004075.358	0.950
11	9	20	F	7720.134	0.002	19999981.252	0.031
10	10	20	Ne	8032.240	0.000	19992440.17619	0.00168
9	11	20	Na	7298.496	0.056	20007354.426	1.195
8	12	20	Mg	6728.025	0.093	20018763.075	2.000
16	5	21	B	4203#	43#	21083017#	966#
15	6	21	C	5674#	28#	21049000#	640#
14	7	21	N	6609.015	6.383	21027087.573	143.906
13	8	21	O	7389.374	0.571	21008654.950	12.882
12	9	21	F	7738.293	0.086	20999948.894	1.932
11	10	21	Ne	7971.713	0.002	20993846.685	0.041
10	11	21	Na	7765.547	0.005	20997654.702	0.105
9	12	21	Mg	7105.031	0.036	21011705.764	0.810
8	13	21	Al	6302#	28#	21028975#	640#
16	6	22	C	5421.077	10.522	22057553.990	248.515
15	7	22	N	6378.534	9.445	22034100.918	223.060
14	8	22	O	7364.871	2.587	22009965.746	61.107
13	9	22	F	7624.295	0.564	22002998.809	13.310
12	10	22	Ne	8080.465	0.001	21991385.109	0.018
11	11	22	Na	7915.667	0.008	21994437.418	0.183
10	12	22	Mg	7662.761	0.014	21999570.654	0.335
9	13	22	Al	6782#	18#	22019540#	430#
8	14	22	Si	6058#	23#	22035790#	540#
17	6	23	C	5077#	43#	23068890#	1070#
16	7	23	N	6236.671	18.286	23039421.000	451.500
15	8	23	O	7163.485	5.292	23015696.686	130.663
14	9	23	F	7622.344	1.449	23003526.874	35.770
13	10	23	Ne	7955.256	0.005	22994466.900	0.112
12	11	23	Na	8111.493	0.000	22989769.28199	0.00194
11	12	23	Mg	7901.115	0.007	22994123.941	0.170
10	13	23	Al	7335.727	0.015	23007244.351	0.370
9	14	23	Si	6565#	22#	23025440#	540#
17	7	24	N	5887#	17#	24050390#	430#
16	8	24	O	7039.685	6.870	24019861.000	177.000
15	9	24	F	7463.582	4.070	24008099.370	104.853
14	10	24	Ne	7993.325	0.021	23993610.645	0.550
13	11	24	Na	8063.488	0.001	23990963.011	0.017
12	12	24	Mg	8260.709	0.001	23985041.697	0.014
11	13	24	Al	7649.582	0.010	23999947.541	0.250
10	14	24	Si	7167.232	0.811	24011535.441	20.904
9	15	24	P	6194#	21#	24035770#	540#
18	7	25	N	5613#	20#	25060100#	540#
17	8	25	O	6727.805	6.603	25029338.919	177.225
16	9	25	F	7336.306	3.858	25012167.727	103.535
15	10	25	Ne	7839.799	1.162	24997814.799	31.181
14	11	25	Na	8101.397	0.048	24989953.973	1.288
13	12	25	Mg	8223.502	0.002	24985836.964	0.050
12	13	25	Al	8021.136	0.003	24990428.306	0.069
11	14	25	Si	7480.110	0.400	25004108.801	10.735
10	15	25	P	6812#	16#	25021190#	430#
18	8	26	O	6497.478	6.344	26037210.155	177.081
17	9	26	F	7083.240	4.277	26020020.392	119.377
16	10	26	Ne	7751.910	0.709	26000516.496	19.784
15	11	26	Na	8004.201	0.135	25992634.649	3.759
14	12	26	Mg	8333.870	0.001	25982592.971	0.032
13	13	26	Al	8149.765	0.003	25986891.863	0.071
12	14	26	Si	7924.708	0.004	25992333.804	0.115
11	15	26	P	7198#	8#	26011780#	210#
10	16	26	S	6548#	23#	26029070#	640#
19	8	27	O	6185#	19#	27047955#	537#
18	9	27	F	6867.932	14.438	27027322.000	418.500
17	10	27	Ne	7520.414	3.362	27007569.462	97.445
16	11	27	Na	7956.946	0.138	26994076.408	4.000
15	12	27	Mg	8263.852	0.002	26984340.628	0.053
14	13	27	Al	8331.553	0.002	26981538.408	0.050
13	14	27	Si	8124.341	0.004	26986704.688	0.115
12	15	27	P	7663.438	0.976	26999224.409	28.277
11	16	27	S	6977#	15#	27018280#	430#
20	8	28	O	5988#	25#	28055910#	750#
19	9	28	F	6614.792	14.037	28036223.095	421.928
18	10	28	Ne	7388.346	4.502	28012130.767	135.339
17	11	28	Na	7799.264	0.366	27998939.000	11.000
16	12	28	Mg	8272.413	0.071	27983876.606	2.148
15	13	28	Al	8309.894	0.003	27981910.087	0.083
14	14	28	Si	8447.744	0.000	27976926.53499	0.00052
13	15	28	P	7907.479	0.041	27992326.585	1.236
12	16	28	S	7478.790	5.714	28004372.766	171.767
11	17	28	Cl	6614#	21#	28029540#	640#
20	9	29	F	6444.031	18.116	29043103.000	564.000
19	10	29	Ne	7167.067	5.155	29019753.000	160.500
18	11	29	Na	7682.151	0.253	29002877.092	7.876
17	12	29	Mg	8113.202	0.393	28988617.393	12.238
16	13	29	Al	8348.464	0.012	28980453.164	0.370
15	14	29	Si	8448.635	0.000	28976494.66525	0.00060
14	15	29	P	8251.236	0.012	28981800.368	0.385
13	16	29	S	7748.520	1.724	28996611.448	53.677
12	17	29	Cl	7158.832	6.506	29014130.178	202.555
21	9	30	F	6233#	20#	30051650#	640#
20	10	30	Ne	7034.531	8.442	30024992.235	271.875
19	11	30	Na	7501.968	0.158	30009097.932	5.074
18	12	30	Mg	8054.506	0.115	29990462.826	3.700
17	13	30	Al	8261.128	0.096	29982968.388	3.100
16	14	30	Si	8520.654	0.001	29973770.136	0.023
15	15	30	P	8353.506	0.002	29978313.489	0.069
14	16	30	S	8122.707	0.007	29984906.769	0.221
13	17	30	Cl	7480#	7#	30004770#	210#
12	18	30	Ar	6904.204	6.872	30022470.511	221.316
22	9	31	F	6033#	18#	31060272#	587#
21	10	31	Ne	6813.090	8.587	31033474.816	285.772
20	11	31	Na	7398.677	0.451	31013146.656	15.000
19	12	31	Mg	7869.188	0.099	30996648.232	3.300
18	13	31	Al	8225.517	0.072	30983949.756	2.400
17	14	31	Si	8458.291	0.001	30975363.194	0.046
16	15	31	P	8481.167	0.000	30973761.99863	0.00072
15	16	31	S	8281.800	0.007	30979557.007	0.246
14	17	31	Cl	7869.209	0.111	30992448.098	3.700
13	18	31	Ar	7252#	6#	31012158#	215#
22	10	32	Ne	6671#	16#	32039720#	540#
21	11	32	Na	7219.881	1.164	32020011.026	40.000
20	12	32	Mg	7803.840	0.102	31999110.139	3.500
19	13	32	Al	8100.344	0.224	31988084.339	7.700
18	14	32	Si	8481.468	0.009	31974151.539	0.320
17	15	32	P	8464.120	0.001	31973907.643	0.042
16	16	32	S	8493.129	0.000	31972071.17443	0.00141
15	17	32	Cl	8072.404	0.018	31985684.637	0.603
14	18	32	Ar	7700.008	0.055	31997637.826	1.900
13	19	32	K	6947#	13#	32022650#	430#
23	10	33	Ne	6440#	18#	33049380#	640#
22	11	33	Na	7089.926	13.634	33025529.000	483.000
21	12	33	Mg	7636.455	0.088	33005327.245	3.100
20	13	33	Al	8020.616	0.212	32990877.687	7.500
19	14	33	Si	8361.059	0.021	32977976.964	0.750
18	15	33	P	8513.806	0.033	32971725.694	1.170
17	16	33	S	8497.630	0.000	32971458.90985	0.00145
16	17	33	Cl	8304.755	0.012	32977451.989	0.419
15	18	33	Ar	7928.955	0.012	32989925.547	0.430
14	19	33	K	7407#	6#	33007560#	210#
24	10	34	Ne	6287#	15#	34056728#	551#
23	11	34	Na	6886.437	17.630	34034010.000	643.500
22	12	34	Mg	7550.390	0.849	34008935.481	31.000
21	13	34	Al	7860.428	0.090	33996779.057	3.300
20	14	34	Si	8336.141	0.415	33978575.437	15.155
19	15	34	P	8448.185	0.024	33973645.887	0.870
18	16	34	S	8583.498	0.001	33967867.012	0.047
17	17	34	Cl	8398.970	0.001	33973762.491	0.052
16	18	34	Ar	8197.672	0.002	33980270.093	0.083
15	19	34	K	7670#	6#	33998690#	210#
14	20	34	Ca	7204#	9#	34014870#	320#
24	11	35	Na	6733#	19#	35041043#	720#
23	12	35	Mg	7356.233	7.705	35016790.000	289.500
22	13	35	Al	7787.124	0.210	34999759.817	7.900
21	14	35	Si	8169.563	1.024	34984550.134	38.494
20	15	35	P	8446.249	0.053	34973314.053	2.003
19	16	35	S	8537.850	0.001	34969032.322	0.043
18	17	35	Cl	8520.278	0.001	34968852.694	0.038
17	18	35	Ar	8327.461	0.019	34975257.721	0.730
16	19	35	K	7965.840	0.015	34988005.407	0.550
15	20	35	Ca	7487#	6#	35005140#	210#
25	11	36	Na	6546#	19#	36049708#	728#
24	12	36	Mg	7244.419	19.173	36021879.000	741.000
23	13	36	Al	7623.515	4.153	36006388.000	160.500
22	14	36	Si	8112.519	1.994	35986649.271	77.077
21	15	36	P	8307.868	0.364	35978259.619	14.078
20	16	36	S	8575.389	0.005	35967080.699	0.201
19	17	36	Cl	8521.931	0.001	35968306.822	0.038
18	18	36	Ar	8519.909	0.001	35967545.105	0.028
17	19	36	K	8142.219	0.009	35981302.010	0.366
16	20	36	Ca	7815.879	1.111	35993074.406	42.941
15	21	36	Sc	7189#	8#	36016480#	320#
26	11	37	Na	6392#	19#	37057471#	737#
25	12	37	Mg	7055.111	18.890	37030286.265	750.350
24	13	37	Al	7531.315	4.871	37010531.000	193.500
23	14	37	Si	7952.903	3.076	36992945.191	122.179
22	15	37	P	8267.555	1.026	36979606.956	40.738
21	16	37	S	8459.935	0.005	36971125.507	0.212
20	17	37	Cl	8570.281	0.001	36965902.584	0.055
19	18	37	Ar	8527.139	0.006	36966776.314	0.221
18	19	37	K	8339.847	0.003	36973375.889	0.100
17	20	37	Ca	8003.456	0.017	36985897.852	0.680
16	21	37	Sc	7532#	8#	37003779#	322#
26	12	38	Mg	6928#	13#	38036580#	540#
25	13	38	Al	7377.097	9.854	38017402.000	402.000
24	14	38	Si	7892.829	2.758	37995523.000	112.500
23	15	38	P	8147.274	1.910	37984303.105	77.918
22	16	38	S	8448.782	0.189	37971163.310	7.699
21	17	38	Cl	8505.481	0.003	37968010.418	0.105
20	18	38	Ar	8614.280	0.005	37962732.104	0.209
19	19	38	K	8438.058	0.005	37969081.116	0.209
18	20	38	Ca	8240.043	0.005	37976319.226	0.208
17	21	38	Sc	7751#	5#	37995438#	215#
16	22	38	Ti	7332#	8#	38011669#	322#
27	12	39	Mg	6747#	13#	39045384#	551#
26	13	39	Al	7281#	10#	39022169#	429#
25	14	39	Si	7730.979	3.475	39002491.000	145.500
24	15	39	P	8097.969	2.888	38986285.865	120.929
23	16	39	S	8344.269	1.282	38975133.852	53.677
22	17	39	Cl	8494.402	0.044	38968008.162	1.859
21	18	39	Ar	8562.598	0.128	38964313.039	5.367
20	19	39	K	8557.025	0.000	38963706.48661	0.00492
19	20	39	Ca	8369.670	0.015	38970710.813	0.640
18	21	39	Sc	8013.456	0.615	38984784.970	25.765
17	22	39	Ti	7574#	5#	39002362#	215#
28	12	40	Mg	6628#	13#	40051906#	537#
27	13	40	Al	7127#	10#	40029619#	429#
26	14	40	Si	7661.754	8.628	40005829.000	370.500
25	15	40	P	7980.796	3.840	39991288.865	164.876
24	16	40	S	8329.325	0.100	39975482.562	4.274
23	17	40	Cl	8427.765	0.802	39970415.469	34.423
22	18	40	Ar	8595.259	0.000	39962383.12378	0.00240
21	19	40	K	8538.090	0.001	39963998.166	0.060
20	20	40	Ca	8551.303	0.001	39962590.865	0.022
19	21	40	Sc	8173.669	0.071	39977967.292	3.036
18	22	40	Ti	7862.286	4.000	39990498.721	171.767
17	23	40	V	7317#	7#	40013065#	322#
28	13	41	Al	7008#	12#	41035878#	537#
27	14	41	Si	7508.573	13.529	41013011.000	595.500
26	15	41	P	7906.551	2.931	40994654.000	129.000
25	16	41	S	8229.635	0.100	40979593.451	4.400
24	17	41	Cl	8412.959	1.676	40970684.525	73.777
23	18	41	Ar	8534.372	0.008	40964500.571	0.372
22	19	41	K	8576.072	0.000	40961825.25796	0.00408
21	20	41	Ca	8546.706	0.003	40962277.921	0.147
20	21	41	Sc	8369.198	0.002	40969251.104	0.088
19	22	41	Ti	8034.388	0.682	40983148.000	30.000
18	23	41	V	7625#	5#	41000344#	215#
29	13	42	Al	6874#	14#	42043049#	644#
28	14	42	Si	7418#	12#	42017681#	537#
27	15	42	P	7767.866	7.485	42001084.000	337.500
26	16	42	S	8193.227	0.067	41981065.100	3.000
25	17	42	Cl	8345.886	1.419	41973342.000	64.000
24	18	42	Ar	8555.613	0.138	41963045.736	6.200
23	19	42	K	8551.256	0.003	41962402.306	0.113
22	20	42	Ca	8616.563	0.004	41958617.828	0.159
21	21	42	Sc	8444.933	0.004	41965516.522	0.181
20	22	42	Ti	8259.247	0.007	41973049.022	0.297
19	23	42	V	7824#	5#	41991820#	210#
18	24	42	Cr	7464#	10#	42007225#	429#
30	13	43	Al	6741#	19#	43050478#	859#
29	14	43	Si	7279#	14#	43024800#	640#
28	15	43	P	7689.572	12.900	43005024.000	595.500
27	16	43	S	8063.827	0.116	42986907.635	5.335
26	17	43	Cl	8323.866	1.439	42974063.700	66.407
25	18	43	Ar	8488.237	0.123	42965636.055	5.700
24	19	43	K	8576.220	0.010	42960734.703	0.440
23	20	43	Ca	8600.663	0.005	42958766.430	0.244
22	21	43	Sc	8530.825	0.043	42961150.472	1.999
21	22	43	Ti	8352.932	0.168	42968522.521	7.777
20	23	43	V	8069.512	0.996	42980766.000	46.000
19	24	43	Cr	7680#	9#	42997885#	429#
30	14	44	Si	7174#	14#	44030610#	640#
29	15	44	P	7567#	11#	44011219#	537#
28	16	44	S	7996.015	0.119	43990118.848	5.600
27	17	44	Cl	8232.332	3.098	43978116.312	146.346
26	18	44	Ar	8493.840	0.036	43964923.816	1.700
25	19	44	K	8546.701	0.010	43961586.986	0.450
24	20	44	Ca	8658.175	0.007	43955481.543	0.348
23	21	44	Sc	8557.379	0.040	43959402.867	1.884
22	22	44	Ti	8533.520	0.016	43959689.951	0.751
21	23	44	V	8210.463	4.128	43974110.000	195.000
20	24	44	Cr	7948#	7#	43985657#	322#
19	25	44	Mn	7467#	11#	44007547#	537#
31	14	45	Si	6995#	16#	45040247#	751#
30	15	45	P	7464#	11#	45016747#	537#
29	16	45	S	7881.807	23.008	44995717.000	1111.500
28	17	45	Cl	8181.598	3.026	44980394.353	146.177
27	18	45	Ar	8419.952	0.011	44968039.733	0.550
26	19	45	K	8554.674	0.012	44960691.493	0.560
25	20	45	Ca	8630.545	0.008	44956186.326	0.392
24	21	45	Sc	8618.931	0.015	44955907.503	0.724
23	22	45	Ti	8555.722	0.019	44958121.211	0.907
22	23	45	V	8380.029	0.019	44965768.951	0.935
21	24	45	Cr	8087.728	0.787	44979050.000	38.000
20	25	45	Mn	7753#	9#	44994364#	429#
19	26	45	Fe	7313#	9#	45014774#	429#
31	15	46	P	7317#	15#	46024659#	751#
30	16	46	S	7792#	11#	46000365#	537#
29	17	46	Cl	8083.480	4.536	45985121.323	224.006
28	18	46	Ar	8412.419	0.024	45968037.446	1.200
27	19	46	K	8518.042	0.016	45961981.586	0.780
26	20	46	Ca	8668.979	0.049	45953687.988	2.399
25	21	46	Sc	8622.012	0.015	45955167.485	0.732
24	22	46	Ti	8656.451	0.004	45952626.856	0.176
23	23	46	V	8486.130	0.004	45960197.971	0.216
22	24	46	Cr	8303.823	0.249	45968360.970	12.295
21	25	46	Mn	7919#	9#	45986506#	429#
20	26	46	Fe	7609#	11#	46000977#	537#
32	15	47	P	7190#	17#	47031895#	859#
31	16	47	S	7648#	11#	47007912#	537#
30	17	47	Cl	7996#	9#	46989501#	429#
29	18	47	Ar	8311.404	0.024	46972768.114	1.200
28	19	47	K	8514.879	0.030	46961661.614	1.500
27	20	47	Ca	8639.349	0.047	46954541.394	2.385
26	21	47	Sc	8665.090	0.041	46952402.704	2.074
25	22	47	Ti	8661.227	0.002	46951757.752	0.123
24	23	47	V	8582.225	0.004	46954904.038	0.181
23	24	47	Cr	8407.195	0.128	46962895.544	6.473
22	25	47	Mn	8135.311	0.674	46975774.000	34.000
21	26	47	Fe	7785#	11#	46992625#	537#
20	27	47	Co	7401#	13#	47011133#	644#
32	16	48	S	7545#	12#	48013700#	640#
31	17	48	Cl	7883#	10#	47995405#	537#
30	18	48	Ar	8242.132	6.404	47976080.000	330.000
29	19	48	K	8434.232	0.016	47965341.186	0.830
28	20	48	Ca	8666.686	0.002	47952522.904	0.103
27	21	48	Sc	8656.204	0.103	47952223.157	5.314
26	22	48	Ti	8723.006	0.002	47947940.932	0.117
25	23	48	V	8623.061	0.020	47952251.229	1.046
24	24	48	Cr	8572.269	0.153	47954028.667	7.862
23	25	48	Mn	8274.185	0.145	47968549.085	7.449
22	26	48	Fe	8023#	8#	47980676#	429#
21	27	48	Co	7600#	10#	48001610#	537#
20	28	48	Ni	7265#	10#	48018028#	538#
33	16	49	S	7385#	14#	49022644#	716#
32	17	49	Cl	7781#	12#	49001009#	644#
31	18	49	Ar	8135#	8#	48981546#	429#
30	19	49	K	8372.274	0.016	48968210.755	0.860
29	20	49	Ca	8594.844	0.004	48955662.875	0.216
28	21	49	Sc	8686.256	0.055	48950014.423	2.896
27	22	49	Ti	8711.157	0.002	48947864.627	0.122
26	23	49	V	8682.908	0.017	48948510.746	0.889
25	24	49	Cr	8613.291	0.046	48951332.955	2.407
24	25	49	Mn	8439.929	0.046	48959612.585	2.420
23	26	49	Fe	8161.311	0.494	48973429.000	26.000
22	27	49	Co	7842#	10#	48989393#	537#
21	28	49	Ni	7457#	12#	49008803#	644#
33	17	50	Cl	7651#	12#	50008309#	644#
32	18	50	Ar	8056#	10#	49985690#	537#
31	19	50	K	8288.582	0.155	49972380.017	8.300
30	20	50	Ca	8550.163	0.032	49957499.217	1.700
29	21	50	Sc	8633.679	0.300	49952176.415	16.103
28	22	50	Ti	8755.718	0.002	49944785.839	0.129
27	23	50	V	8695.918	0.008	49947155.845	0.438
26	24	50	Cr	8701.032	0.009	49946041.443	0.468
25	25	50	Mn	8532.696	0.009	49954237.391	0.474
24	26	50	Fe	8354.026	0.168	49962988.000	9.000
23	27	50	Co	8001#	8#	49981073#	429#
22	28	50	Ni	7716#	10#	49995577#	537#
34	17	51	Cl	7530#	14#	51015341#	751#
33	18	51	Ar	7926#	12#	50992818#	644#
32	19	51	K	8221.349	0.256	50975827.867	14.006
31	20	51	Ca	8476.913	0.010	50960995.665	0.560
30	21	51	Sc	8596.796	0.392	50953592.095	21.471
29	22	51	Ti	8708.988	0.010	50946609.600	0.541
28	23	51	V	8742.099	0.008	50943956.867	0.430
27	24	51	Cr	8712.005	0.008	50944764.652	0.429
26	25	51	Mn	8633.772	0.010	50948208.065	0.539
25	26	51	Fe	8460.759	0.176	50956840.779	9.623
24	27	51	Co	8193.254	0.950	50970647.000	52.000
23	28	51	Ni	7875#	10#	50987225#	537#
34	18	52	Ar	7825#	12#	51998626#	644#
33	19	52	K	8115.029	0.645	51981602.000	36.000
32	20	52	Ca	8429.381	0.013	51963213.648	0.720
31	21	52	Sc	8533.125	1.574	51956582.351	87.871
30	22	52	Ti	8691.667	0.136	51946891.960	7.592
29	23	52	V	8714.582	0.008	51944772.839	0.450
28	24	52	Cr	8775.989	0.007	51940504.992	0.364
27	25	52	Mn	8670.329	0.035	51945563.488	1.980
26	26	52	Fe	8609.574	0.098	51948115.217	5.493
25	27	52	Co	8325.886	0.161	51963112.000	9.000
24	28	52	Ni	8079#	8#	51976028#	429#
23	29	52	Cu	7679#	12#	51997552#	644#
35	18	53	Ar	7677#	13#	53007290#	750#
34	19	53	K	8022.848	2.109	52986800.000	120.000
33	20	53	Ca	8330.577	0.826	52968451.000	47.000
32	21	53	Sc	8495.421	1.775	52958231.821	101.006
31	22	53	Ti	8630.174	1.888	52949724.785	107.406
30	23	53	V	8710.130	0.059	52944335.593	3.349
29	24	53	Cr	8760.198	0.007	52940646.961	0.373
28	25	53	Mn	8734.175	0.009	52941287.742	0.483
27	26	53	Fe	8648.799	0.031	52945305.574	1.777
26	27	53	Co	8477.658	0.032	52954203.217	1.839
25	28	53	Ni	8217.074	0.475	52968190.000	27.000
24	29	53	Cu	7894#	9#	52985754#	537#
35	19	54	K	7889#	11#	53994630#	640#
34	20	54	Ca	8247.496	0.897	53972989.000	52.000
33	21	54	Sc	8394.681	5.052	53963616.620	292.862
32	22	54	Ti	8597.435	1.527	53951022.786	88.526
31	23	54	V	8662.043	0.278	53946437.472	16.107
30	24	54	Cr	8777.955	0.007	53938878.012	0.378
29	25	54	Mn	8737.965	0.020	53940356.429	1.136
28	26	54	Fe	8736.382	0.007	53939608.306	0.399
27	27	54	Co	8569.217	0.007	53948459.192	0.411
26	28	54	Ni	8393.032	0.086	53957833.000	5.000
25	29	54	Cu	8048#	7#	53977015#	429#
24	30	54	Zn	7753#	7#	53993267#	430#
36	19	55	K	7788#	13#	55000760#	750#
35	20	55	Ca	8120#	5#	54980300#	322#
34	21	55	Sc	8320.955	8.261	54967622.601	487.756
33	22	55	Ti	8515.980	2.938	54955267.465	173.486
32	23	55	V	8637.692	1.729	54947241.114	102.098
31	24	55	Cr	8731.924	0.007	54940837.289	0.428
30	25	55	Mn	8765.022	0.006	54938043.172	0.325
29	26	55	Fe	8746.595	0.006	54938291.283	0.367
28	27	55	Co	8669.618	0.008	54941996.531	0.459
27	28	55	Ni	8497.320	0.013	54951329.961	0.771
26	29	55	Cu	8233.996	2.828	54966038.000	167.000
25	30	55	Zn	7909#	7#	54984358#	429#
37	19	56	K	7664#	14#	56008510#	860#
36	20	56	Ca	8040#	7#	55985080#	429#
35	21	56	Sc	8221.728	10.479	55973320.000	630.000
34	22	56	Ti	8466.110	2.165	55957788.190	130.164
33	23	56	V	8574.191	3.159	55950450.694	189.907
32	24	56	Cr	8723.258	0.011	55940649.107	0.647
31	25	56	Mn	8738.333	0.006	55938902.947	0.355
30	26	56	Fe	8790.354	0.005	55934935.617	0.324
29	27	56	Co	8694.836	0.009	55939838.150	0.529
28	28	56	Ni	8642.779	0.008	55942127.872	0.452
27	29	56	Cu	8356.227	0.266	55958515.000	16.000
26	30	56	Zn	8106#	7#	55972743#	429#
25	31	56	Ga	7699#	9#	55996361#	537#
37	20	57	Ca	7917#	7#	56992620#	429#
36	21	57	Sc	8151.433	22.879	56977460.000	1400.000
35	22	57	Ti	8364.370	4.499	56963590.068	275.274
34	23	57	V	8534.817	1.412	56952320.197	86.397
33	24	57	Cr	8663.394	0.019	56943612.409	1.146
32	25	57	Mn	8736.713	0.026	56938285.968	1.615
31	26	57	Fe	8770.279	0.005	56935392.134	0.326
30	27	57	Co	8741.882	0.009	56936289.913	0.572
29	28	57	Ni	8670.933	0.010	56939791.525	0.624
