compound,raw_values,measurement_wavelength
As40S60,2.415,1550
As40S40Se20,2.47,1550
As24S38Se38,2.32,1550
As37S56Se7,2.43,1550
As30S63Se4Sn3,2.8,1550
As2Se3,2.78,1550
Ge0.25Se0.75,2.4,1550
Ge0.25Se0.65Te0.10,2.5,1550
Ge0.28Se0.60Sb0.12,2.61,4190
TeO2–B2O3–ZnO,2.518,3791
TeO2–B2O3–ZnO,2.444,3788
TeO2–B2O3–ZnO,2.409,3724
TeO2–B2O3–ZnO,2.409,3754
TeO2–B2O3–ZnO,2.352,
C48H73N13O17S3,1.656,
CN301,1.5115,
UVR6110,1.4993,
baicalein,1.175,
baicalein,1.181,
baicalein,1.081,
baicalein,1.091,
BS1,1.66,
BS2,1.66,
BS3,1.66,292
LaF3,1.6,300
LaF3,1.6,330
CaF2,1.43,362
YAlO3,1.98,320
YLiF4,1.49,430
Gd2SiO5,1.89,420
Lu2SiO5,1.81,400
Lu2SiO5,1.81,480
Lu2SiO5,1.81,365
LuAlO3,1.94,385
Lu2Si2O7,1.74,360
Li–Al–B,1.528,390
Sr2B5O9Br,1.65,355
Sr2B5O9Br,1.65,292
LiSrAlF6,1.41,290
LiCaAlF6,1.45,455
SrGa2S4,2.17,320
BaF2,1.475,410
Ca2Al2SiO7,1.68,345
YPO4,1.75,
K2OSm2O3P2O5,1.57,
K2OSm2O3P2O5,1.54,1025
Cu2S,4.38,960
Cu2S,3.28,925
Cu2S,2.81,867
Cu2S,2.49,
LiYBSm,1.585,
LiLaBSm,1.5966,
Al2Si2O5(OH)4·nH2O,1.54,
CdB,1.523,
CdBPr,1.538,
CdBNd,1.531,
CdBSm,1.529,
CdBEu,1.524,
Perfluoro-n-octane,1.28,
Perfluorodecalin,1.31,
Oxane,1.4,
Dioxane,1.4224,
Diethylether,1.3524,
Chloroform,1.4459,
Ethylacetate,1.3724,
Methylacetate,1.3614,
Tetrahydrofuran,1.4072,
Cyclohexanone,1.4648,
2-Butanol,1.3971,
1-Butanol,1.3993,
2-Propanol,1.3772,
1-Propanol,1.3856,
Acetone,1.3587,
Ethanol,1.3614,
Ethyleneglycol,1.4475,
Methanol,1.3284,
Acetonitrile,1.3441,
Dimethylsulfoxide,1.4793,
Naringin,1.5,
Naringin,1.4,
Naringin,1.4,550
HfO2,1.906,550
HfO2,1.957,550
HfO2,1.869,550
HfO2,1.78,550
HfO2,1.769,550
HfO2,1.737,550
HfO2,1.706,550
HfO2,1.663,550
HfO2,1.647,550
HfO2,1.581,550
SiO2,1.46,550
ZrO2,1.876,550
ZrO2,2.004,550
ZrO2,2.018,550
ZrO2,1.983,550
ZrO2,1.84,550
ZrO2,1.739,550
ZrO2,1.711,550
ZrO2,1.649,550
ZrO2,1.559,550
SiO2,1.46,
TiO2,2.55,
Al2O3,1.76,
SiO2,1.55,
Toluene,1.49,
Benzene,1.5,1550
InP,3.16,
CNE,1.4867,1064
GaN,2.26,1064
SnO2,1.94,1064
ZnO,1.96,
ZrAlO,2.123,
ZrAlO,1.96,
ZrAlO,2.089,
ZrAlO,2.12,
ZrAlO,2.067,
Al2O3,1.647,
Al2O3,1.645,
Al2O3,1.701,
Al2O3,1.639,
Al2O3,1.607,
oxyfluoride,1.5174,
oxyfluoride,1.5114,
oxyfluoride,1.5015,
CaF2–Y2O3–ZnO,1.6951,
CaF2–Y2O3–ZnO,1.693,
CaF2–Y2O3–ZnO,1.6911,
CaF2–Y2O3–ZnO,1.6903,
CaF2–Y2O3–ZnO,1.6891,
CaF2–Y2O3–ZnO,1.6885,
Ge0.15Te0.78Cu0.07,2.53,
Ge0.15Te0.78Cu0.07,3.24,
Ge0.15Te0.78Cu0.07,4.12,
Ge0.15Te0.78Cu0.07,5.2,
Ge0.15Te0.78Cu0.07,5.91,
InP,3.18,
InP,3.31,
InP,3.39,
InP,3.31,
InP,3.18,
lactose,1.3968,
lactose,1.3975,
lactose,1.3978,
lactose,1.3982,
lactose,1.3989,
lactose,1.3996,
lactose,1.4,
lactose,1.4005,
lactose,1.4009,
lactose,1.4014,
lactose,1.4018,
lactose,1.3949,
lactose,1.3954,
lactose,1.396,
lactose,1.3966,
lactose,1.3969,
lactose,1.3972,
lactose,1.3975,
lactose,1.3978,
lactose,1.3981,
lactose,1.3984,
lactose,1.3986,
lactose,1.3942,
lactose,1.3944,
lactose,1.3946,
lactose,1.3948,
lactose,1.395,
lactose,1.3954,
lactose,1.3957,
lactose,1.3958,
lactose,1.396,
lactose,1.3964,
lactose,1.3966,
silicon,1.47,
silicon,1.42,
silicon,2.23,
Oleicacid,1.4579,
Linoleicacid,1.4691,
Kaolinite,1.56,
Montmorillonite,1.5,
Heptane,1.385,
CO2,1.169,
CO2,1.175,620
Se75S25,4.88,620
Se75S23Cd2,3.88,620
Se75S21Cd4,2.98,620
Se75S19Cd6,2.81,620
Se75S17Cd8,1.82,550
In2O3,1.8132,550
In2O3,1.8402,550
In2O3,1.8731,550
In2O3,1.8983,550
In2O3,1.9107,
PbWO4,2.19,
PbWO4,2.2,550
BSB-Cz,1.94,550
BSB-Cz,1.71,550
BSB-Cz,1.97,550
BSB-Cz,1.74,550
BSB-Cz,1.93,550
BSB-Cz,1.76,
Me,1.4615,
Me,1.4696,
Me,1.4877,
Me,1.5317,
Me,1.4877,
Me,1.4216,
Me,1.4312,
Me,1.4214,
Me,1.49,
PTFE,1.33,
PTFE,1.34,
PTFE,1.35,
quartz,1.3,
quartz,1.59,
quartz,1.567,
quartz,1.578,
Si-C,2.1,
Si-C,2,
Si-C,2,
Si-C,1.8,
AlN,1.6,
GaN,1.8,
ZnS,1.05,
CsI,1.55,
CsBr,1.85,
CsCl,2.05,
NaCl,2.054,
NaBr,1.85,
KCl,2.05,
RbBr,1.8,
As40S60,2.38,
As40S40Se20,2.47,
As24S38Se38,2.32,
As18S71Se11,2.14,
As37S56Se7,2.43,
Ge30As11Se49Te10,2.5,
Ge17As18S26Se39,2.41,
As30Se63Sb4Sn3,2.8,
Ge28Sb12Se60,2.6,
Ge25Ga5S70,2.2,
Ga28La12S60,2.5,
Ga24La10S60Ce6,2.54,155
As40S60,2.38,13
As40S60,2.38,155
As40S40Se20,2.47,13
As40S40Se20,2.47,155
As24S38Se38,2.32,13
As24S38Se38,2.32,155
As18S71Se11,2.14,13
As18S71Se11,2.14,155
As37S56Se7,2.43,13
As37S56Se7,2.43,155
Ge30As11Se49Te10,2.5,13
Ge30As11Se49Te10,2.5,155
Ge17As18S26Se39,2.41,13
Ge17As18S26Se39,2.41,155
As30Se63Sb4Sn3,2.8,13
As30Se63Sb4Sn3,2.8,155
Ge28Sb12Se60,2.6,13
Ge28Sb12Se60,2.6,155
Ga28La12S60,2.5,13
Ga28La12S60,2.5,155
Ga24La10S60Ce6,2.54,13
Ga24La10S60Ce6,2.54,
TeO2.B2O3.ZnO.Nd2O3,2.046,
GeO2.Ga2O3.Li2O.Nd2O3,1.69,
LaOF,4.16,
LaOF,4.19,
LaOF,4.21,
LaOF,4.23,
LaOF,4.26,
LaOF,4.29,
hydroxyethylmethacrylate,1.54,
ZnO,1.38,
H2O,1.3317,
MeOH,1.3305,
EtOH,1.3615,
MeOH,1.3363,
MeOH,1.3389,
MeOH,1.3399,
EtOH,1.3434,
EtOH,1.3546,
EtOH,1.3592,
phenol,1.553,
phenol,1.612,
phenol,1.612,
phenol,1.637,
phenol,1.575,
phenol,1.545,
phenol,1.612,
phenol,1.545,
phenol,1.575,
phenol,1.54,
phenol,1.545,
phenol,1.701,
phenol,1.612,
phenol,1.612,
phenol,1.612,
phenol,1.637,
phenol,1.545,
phenol,1.593,
phenol,1.523,
phenol,1.495,
phenol,1.589,
phenol,1.561,
phenol,1.561,
phenol,1.561,
phenol,1.49,
phenol,1.47,
phenol,1.535,
phenol,1.606,
phenol,1.606,
phenol,1.619,
phenol,1.606,
phenol,1.619,
phenol,1.619,
phenol,1.619,
phenol,1.619,
phenol,1.63,
phenol,1.63,
phenol,1.63,
phenol,1.672,
phenol,1.568,
phenol,1.568,
phenol,1.577,
phenol,1.577,
phenol,1.568,
phenol,1.577,
phenol,1.568,
phenol,1.663,
phenol,1.663,
phenol,1.565,
phenol,1.549,
phenol,1.538,
flavonoid,1.635,
flavonoid,1.646,
flavonoid,1.671,
flavonoid,1.686,
flavonoid,1.644,
flavonoid,1.667,
flavonoid,1.621,
flavonoid,1.634,
flavonoid,1.681,
flavonoid,1.681,
flavonoid,1.625,
flavonoid,1.639,
flavonoid,1.616,
flavonoid,1.599,
flavonoid,1.625,
flavonoid,1.639,
flavonoid,1.616,
flavonoid,1.599,
flavonoid,1.625,
flavonoid,1.639,
flavonoid,1.642,
flavonoid,1.625,
flavonoid,1.648,
flavonoid,1.662,
flavonoid,1.656,
flavonoid,1.639,
flavonoid,1.662,
flavonoid,1.675,
flavonoid,1.656,
flavonoid,1.681,
flavonoid,1.686,
flavonoid,1.681,
flavonoid,1.731,
flavonoid,1.698,
flavonoid,1.732,
flavonoid,1.702,
flavonoid,1.677,
flavonoid,1.697,
flavonoid,1.732,
flavonoid,1.767,
flavonoid,1.668,620
Ga15Se85,5.19,620
Ga15Se83In2,2.38,620
Ga15Se85,2.38,620
Ga15Se85,2.88,620
Ga15Se83In2,3.42,
sapphire,2.01,
sapphire,2.1,
sapphire,2.02,
PbSi,1.513,
Silicon,3.34,
silica,2.363,
CdTe,4,
NH2,1.35,
NH2,1.36,
NH2,1.35,
NH2,1.37,
LiBr-H2O,1.421,
LiBr-H2O,1.425,
LiBr-H2O,1.426,
LiBr-H2O,1.439,
LiBr-H2O,1.444,
LiBr-H2O,1.447,
LiBr-H2O,1.4518,
LiBr-H2O,1.453,
LiBr-H2O,1.457,
LiBr-H2O,1.4601,
LiBr-H2O,1.466,
LiBr-H2O,1.47,
LiBr-H2O,1.476,
spermidine,1.3328,
BO4,2.35,
BO4,2.26,
BO4,2.2,
BO4,2.12,
BO4,2.06,
Beryllium,3.4,
Silicon,5,
Silicon,1.2,6328
H2O,1.35,
1-Ethyl-3-Methylimidazolium,1.42251,
1-Butyl-3-Methylimidazolium,1.42653,
1-Hexyl-3-methylimidazolium,1.42954,
1-Octyl-3-Methylimidazolium,1.43256,
1-decyl-3-Methylimidazolium,1.43557,
Te2Se3As4.5I0.5,2.8,1725
LiAlO2,1.61,200
LiAlO2,1.61,1630
LiGaO2,1.75,320
LiGaO2,1.75,
ZnS,3.16,
ZnS,3.67,
Al0.90Ga0.10As,3.15,
Cu(In,3.67,
MoBi2S5,3.15,
MoBi2S5,2.6,
MoBi2S5,2.16,472
Samarium,1.22,472
Aurum,1.31,600
AZO,1.85,600
AZO,1.99,600
AZO,1.94,600
AZO,2.07,600
AZO,2.16,600
AZO,2.14,
MgO,2.1252,
MgO,2.093,
MgO,2.0932,
BaO,2.1264,
BaO,2.0972,
BaO,2.0615,
ZnO,2.1026,
NHD,1.5021,
NHD,1.5011,
NHD,1.5017,
AgCl,1.75,
AgBr,1.87,679
Al2O3,1.76,679
Ni81Fe19,2.25,
opaline,1.5,
cBN,2.117,650
Cd0.30Se0.70,2.52,700
Cd0.30Se0.70,2.23,750
Cd0.30Se0.70,2.04,800
Cd0.30Se0.70,2.02,850
Cd0.30Se0.70,1.93,900
Cd0.30Se0.70,1.85,650
Cd0.45Se0.55,2.61,700
Cd0.45Se0.55,2.53,750
Cd0.45Se0.55,2.49,800
Cd0.45Se0.55,2.47,850
Cd0.45Se0.55,2.46,900
Cd0.45Se0.55,2.39,650
Cd0.50Se0.50,2.654,700
Cd0.50Se0.50,2.418,750
Cd0.50Se0.50,2.155,800
Cd0.50Se0.50,2.057,850
Cd0.50Se0.50,1.97,900
Cd0.50Se0.50,1.95,650
Cd0.55Se0.45,2.82,700
Cd0.55Se0.45,2.66,750
Cd0.55Se0.45,2.59,800
Cd0.55Se0.45,2.56,850
Cd0.55Se0.45,2.48,900
Cd0.55Se0.45,2.46,650
Cd0.60Se0.40,3.28,700
Cd0.60Se0.40,2.93,750
Cd0.60Se0.40,2.72,800
Cd0.60Se0.40,2.6,850
Cd0.60Se0.40,2.51,900
Cd0.60Se0.40,2.49,
GeTe,3.3745,
GeTe,3.3139,
GeTe,3.2879,
GeTe,3.3752,
GeTe,3.3125,
GeTe,3.2885,
polystyrene,1.59,
DPPC,1.463,
DMPC,1.463,
1-Octanol,1.429,
2-Ethylhexanol,1.431,
Methylisobutylketone,1.3958,
Isobutylacetate,1.39,
Diethylenetriamine,1.4826,550
SnO2,2.03,550
SnO2,2.04,550
SnO2,1.77,550
SnO2,1.85,
LiCl,5.02,
GaAs,5.1,
GaSb,5,
GaP,5.2,
GaN,5.3,
InAs,5.7,
InSb,5.8,
InP,5.7,
AlAs,3.9,
AlN,3.5,
HCFC-123,1.333,
CCl2FCH3,1.36,
HCFC-225ca,1.326,
HCFC-225cb,1.3262,
ZnCdF,1.518,
ZnTeO,2.036,
NaPO,1.51,
PbOF,1.779,
PbBGO,2.3,
InAs,3.68016,
InAs,3.70455,
InAs,3.72848,
InAs,3.75193,
InAs,3.77489,
InAs,3.79736,
Sr2Nb2O7,1.95,
Sr2Ta2O7,2.01,
Sr2Nb2O7,2.05,
Sr2Nb2O7,2.73,
Sr2Nb2O7,2.91,
Sr2Nb2O7,2.98,
Sr2Nb2O7,1.88,
Sr2Nb2O7,1.92,
Sr2Nb2O7,1.97,
Sr2Nb2O7,2.58,
Sr2Nb2O7,2.82,
Mg2SiO4,1.8219,
Mg2SiO4,1.8278,
Mg2SiO4,1.8374,
Mg2SiO4,1.8176,
Al2O3,1.414,
Al2O3,1.612,
Al2O3,1.732,383
ZnTe,4,
ZnS,1.36,
ZnS,1.37,
ZnS,1.37,
ZnS,1.37,
ZnS,1.37,
BSG,1.41,
BSG,1.42,
BSG,1.48,
BSG,1.42,
BSG,1.45,
BSG,1.48,
BSG,1.41,
BSG,1.44,
BSG,1.46,
ethanol,1.3633,
Polystyrene,1.519,
Palmiticacid,1.4701,
carbon,2.023,
carbon,2.436,
carbon,1.911,
carbon,2.505,5437
alumina,1.582,5437
alumina,1.582,2630
ZnSe,2.318,3163
ZnSe,5.544,3142
ZnSe,5.569,3115
ZnSe,5.602,3102
ZnSe,5.618,2451
ZnSe,2.33,3154
ZnSe,5.648,2952
ZnSe,5.765,
SiN,1.05,
SiN,1.05,
SiN,1.04,
CdS,1.13,
CdS,1.74,
CdS,1.66,
CdS,2,
CdS,2.23,
CH2Cl2,1.42,
CHCl3,1.45,
CCl4,1.47,
THF,1.333,
THF,1.333001,
THF,1.333005,
THF,1.33401,
THF,1.335015,
THF,1.34005,
THF,1.341058,
THF,1.348104,
THF,1.350118,
THF,1.354141,
THF,1.361184,
THF,1.363197,
THF,1.365206,
THF,1.36923,
THF,1.375263,6238
SiOxNy,1.61,6238
SiOxNy,1.7,6238
SiOxNy,1.82,6238
SiOxNy,1.98,6238
SiOxNy,2,
SiN,1.92,
SiN,1.92,
SiN,1.94,
Brookite,2.58,
Talc,1.57,
Silica,1.448,
NMP,1.5056,
NMP,1.5778,
STO,1.77,
SiO2,1.52578,
GaAs,3.6,
BBN40,1.92,
BBN50,2.03,
BBN60,2.13,
BBS40,1.84,
BBS50,1.99,
BBS60,2.09,
BBD40,1.9,
BBD50,2.01,
BBD60,2.13,
DMF,1.4,
DMSO,1.4,
ZnSe,2.26,
ZnSe,2.44,
ZnTe,2.87,
ZnSe,2.84,550
TiO2,2.7,550
TiO2,2.88,550
TiO2,3.15,550
TiO2,2.51,550
TiO2,3,550
TiO2,3.2,550
TiO2,2.49,550
TiO2,2.77,550
TiO2,3.1,550
TiO2,2.67,550
TiO2,3.33,550
TiO2,3.45,
ZnTe,2.39,
Zn0.94Cu0.06Te,2.47,
Zn0.92Cu0.08Te,3.03,
Zn0.90Cu0.10Te,3.2,700
Au@TiO2,2.24,700
TiO2,2.49,
VBCFs,1.4775,
VBCFs,1.4793,
VBCFs,1.4767,
VBCFs,1.478,
VBCFs,1.4942,
VBCFs,1.4825,
Bis-GMA,1.549,
BSO,2.06,
BSO,2.15,
Methanol,1.3284,
Ethanol,1.3614,
Cyclohexane,1.4262,
Dichloromethane,1.4241,
n-Hexane,1.3749,
Chloroform,1.4458,
Acetonitrile,1.3441,
Tetrachlorocarbon,1.4603,
n-Butanol,1.4,
bromine,1.2,
Heptane,1.387,820
Ga10Te90−xSbx,1.66,820
Ga10Te90−xSbx,1.74,820
Ga10Te90−xSbx,1.05,820
Ga10Te90−xSbx,2.23,550
CdS,2.3,600
CdS,2.17,650
CdS,2.09,700
CdS,2.02,750
CdS,1.91,800
CdS,1.83,550
CdS,2.78,600
CdS,2.44,650
CdS,2.29,700
CdS,2.25,750
CdS,2.24,800
CdS,2.24,
barium,1.6415,
barium,1.6583,
As38.8Se61.2,2.805,
As40Se60,2.813,510
Se80Te20,1.76,510
Se75Te20Ag5,2.38,510
Se70Te20Ag10,3.3,510
Se65Te20Ag15,3.56,650
POSS,1.615,650
POSS,1.519,155
PMMA,1.6253,
Polyurethane,1.48,
Polydimethylsiloxane,1.407,
Fe-Ti,1.509,
Fe-Ti,1.509,
Fe-Ti,1.509,
Fe-Ti,1.509,
Ethanol,1.36,
NzPc,1.33,
ethylacetoacetate,1.4779,
ethylacetoacetate,1.4747,
ethylacetoacetate,1.4707,
ethylacetoacetate,1.4777,
ethylacetoacetate,1.4748,
ethylacetoacetate,1.4707,
ethylacetoacetate,1.4802,
ethylacetoacetate,1.4775,
ethylacetoacetate,1.4744,550
titania,2.12,550
titania,2.13,550
titania,2.17,
Decanoicacid,1.45,
DPPC,1.404,
DMPC,1.435,
ZnS,2.27,
ZnSe,2.43,
ZnTe,2.7,
CdO,2.32,
CdSe,2.49,
CdTe,2.7,
HgSe,2.72,
CuCl,2.19,
CuBr,2.12,
AgI,2.22,
AlN,2.16,
AlAs,3,
AlSb,3.19,
GaN,2.4,
GaP,2.9,
GaAs,3.3,
GaSb,3.79,
InP,3.1,
InAs,3.5,
InSb,3.95,
SiC,2.59,
PbS,4.15,
PbSe,4.69,
PbTe,5.73,
CuAlS2,2.4,
CuAlSe2,2.6,
CuAlTe2,3.3,
CuGaS2,2.67,
CuGaSe2,2.8,
CuGaTe2,3.3,
CuInS2,2.6,
CuInSe2,2.9,
AgAlSe2,2.47,
AgAlTe2,2.54,
AgGaS2,2.4,
AgGaSe2,2.8,
AgGaTe2,3.3,
ZnSiP2,3.4,
ZnSiAs2,3.1,
ZnGeP2,3.1,
ZnGeAs2,3.5,
ZnSnP2,2.9,
CdSiAs2,3.5,
CdSiP2,3.1,
CdGeAs2,3.4,
CdGeP2,3.3,
CdSnAs2,3.7,
CdSnP2,3.1,
GaAs,3.3,
CsI,1.82,
CsBr,1.67,
CsCl,1.61,
NaCl,1.54,
NaBr,1.64,
KCl,1.49,
RbCl,1.49,
RbBr,1.55,
B2O3,1.46,
SiO2,1.54,
Al2O3,1.7,
MgO,1.74,
CaO,1.84,
SrO,1.87,
BaO,1.98,
MnO,2.16,
ZnO,2.02,
GeO2,2,
Sb2O3,2.3,
HgO,2.52,
Bi2O3,2.52,
PbO,2.71,
SnO2,2.03,
Ga2O3,1.94,
CdO,2.47,
Se2O3,2,
CeO2,2.31,
TiO2,2.72,
Fe2O3,2.95,
CoO,2.35,
NiO,2.2,
Cu2O,2.72,
MoO3,2.47,
PMMA,1.49,
Allergan,1.47,
HEMA,1.47,
HEMA,1.44,
MDEA,1.4603,
MDEA,1.46008,
MDEA,1.3324,
MDEA,1.3322,
Acetonitrile,1.341,
Acetone,1.355,
DMSO,1.476,
Ethanol,1.359,
Olein,1.459,420
CaWO4,1.94,480
CdWO4,2.2,
polypropylene,1.515,
polypropylene,1.5156,
Phenyloctane,1.49,
Perfluorooctane,1.28,
Tetradecane,1.43,
Dodecan-4-ol,1.44,
Phenyloctane,1.49,
Dodecan-4-ol,1.44,
Tetradecane,1.43,
Perfluorooctane,1.28,
Bis-GMA,1.5497,
TETA,1.471,
TETA,1.569,
PMMA,1.49,
PMMA,1.49,
PMMA,1.49,
TiO2,2.5688,
TiO2,2.9467,
Brookite,2.809,
TiO2,2.58,
TiO2,2.69,
TiO2,2.72,
TiO2,2.73,
Bis-GMA,1.549,
benzene,1.16,
benzene,1.12,
benzene,1.33,
ethanol,1.35,
ethanol,1.36,550
ZnO,1.901,600
ZnO,1.85,700
ZnO,1.864,800
ZnO,1.883,550
ZnO,1.964,600
ZnO,1.891,700
ZnO,1.856,800
ZnO,1.856,550
ZnO,1.928,600
ZnO,1.937,700
ZnO,1.946,800
ZnO,1.946,550
ZnO,2.009,600
ZnO,1.991,700
ZnO,1.973,800
ZnO,1.991,550
ZnO,2.036,600
ZnO,1.982,700
ZnO,1.991,800
ZnO,2.018,
Duran,1.473,106
Ga5Sb10Ge25Se60,2.628,106
Te20As30Se40I10,2.821,106
Te20As40Se30I10,2.872,106
As40Se60,2.775,
ethanol,1.4756,
ethanol,1.4773,
PEO,1.508,
BBIM,1.4733,
BBPIR,1.4693,
BBIR1,1.472,
BBIR2,1.4693,
BBIR3,1.4703,
BBTF1,1.4937,
BBTF2,1.483,587
IOL,1.377,587
IOL,1.377,587
IOL,1.377,587
IOL,1.377,587
IOL,1.338,587
IOL,1.338,587
IOL,1.338,587
IOL,1.483,587
IOL,1.483,587
IOL,1.483,587
IOL,1.483,587
IOL,1.336,532
Lu2O3,1.943,532
Yb2O3,1.956,532
HfO2,2.12,532
Dy2O3,1.9865,532
Ta2O5,2.163,532
Thulium,1.978,532
TeO2,2.3,532
La2O3,1.88,532
TiO2,2.82,532
Fe2O3,1.986,532
Y2O3,1.94,532
GeO2,1.612,532
Sc2O3,2.003,532
MgO,1.73,532
CaO,1.83,532
Al2O3,1.773,532
SiO2,1.46,532
KCl,1.493,
AgAlS2,2.21,
AgAlSe2,2.35,
C6H12O2,1.392,
alcohol,1.497,
alcohol,1.504,
alcohol,1.496,
alcohol,1.505,
Al2O3-C,1.76,
Aerosil,1.45,
BisOH.PETCN,1.501,
BisOH.PETCN,1.55,
BisOH.PETCN,1.575,
KH2PO4,1.3372,
N–H,1.53,
N–H,1.53,
H–O–H,1.53,
SiO–H,1.53,
N–H,1.49,
H–O–H,1.49,
SiO–H,1.49,
N–H,1.47,
N–H,1.47,
H–O–H,1.47,
SiO–H,1.47,
N–H,1.46,
H–O–H,1.46,
SiO–H,1.46,
N–H,1.85,
N–H2,1.85,
Si–H,1.85,
Si–H(N2Si),1.85,
Si–H(N3),1.85,
N–H,1.83,
N–H2,1.83,
Si–H,1.83,
Si–H(N2Si),1.83,
Si–H(N3),1.83,
N–H,1.83,
N–H2,1.83,
Si–H,1.83,
Si–H(N2Si),1.83,
Si–H(N3),1.83,
N–H,1.81,
N–H2,1.81,
Si–H,1.81,
Si–H(N2Si),1.81,
Si–H(N3),1.81,
N–H,1.54,
N–H,1.54,
H–O–H,1.54,
SiO–H,1.54,
N–H,1.49,
N–H,1.49,
H–O–H,1.49,
SiO–H,1.49,
N–H,1.5,
N–H,1.5,
H–O–H,1.5,
SiO–H,1.5,
N–H,1.48,
N–H,1.48,
H–O–H,1.48,
SiO–H,1.48,
N–H,1.48,
N–H,1.48,
N–H,1.49,
N–H,1.49,227
ZnS,2.27,245
ZnSe,2.45,247
CdSe,2.47,27
CdTe,2.7,176
Al2O3,1.76,
ilmenite,2.94,
ilmenite,2.94,
ilmenite,2.94,
CdSiAs2,3.22,
CdGeAs2,3.57,
CdSnAs2,3.37,
GDMA,1.4696,
La5.81Si10O24.22N2.99,1.73,
La8.14Si10O29.164N2.03,1.75,
La7.62Si10O25.57N3.90,1.78,
La7.90Si10O26.56N3.53,1.77,
La8.15Si10O25.93N4.19,1.8,
La7.84Si10O26.17N3.73,1.79,
La7.06Si10O22.27N5.55,1.84,
La7.45Si10O23.59N5.05,1.84,
La7.59Si10O22.95N5.62,1.87,
La12.22Si10O24.01N9.55,1.92,
La8.52Si10O23.25N6.36,1.88,
La8.25Si10O20.28N8.06,1.89,
La8.82Si10O20.89N8.22,1.89,
La16.1Si10O29.68N9.62,1.94,
La16.45Si10O26.24N12.28,1.95,
La11.62Si10O23.89N9.03,1.92,
La13.4Si10O16.78N15.54,1.95,
La11.03Si10O20.42N10.75,1.94,
La14.62Si10O18.4N15.67,1.96,
La12.04Si10O19.7N12.24,1.94,
La18.15Si10O23.02N16.13,1.98,
La11.7Si10O11.53N17.34,2.17,
La10.64Si10O12.92N15.36,2.06,
La12.33Si10O9.42N19.38,2.2,
La13.1Si10O12.57N18.23,2.31,
La14.04Si10O19.39N14.5,1.94,
La21.72Si10O10.11N28.32,2.28,
silica,1.17,
SiO2,1.46,
TiO2,3.3,
CeO2,5,
SiO2,1.87,
BTN614,1.2,
KF995,1.4,6328
phthalocyanine,1.586,6328
phthalocyanine,1.592,6328
phthalocyanine,1.588,6328
phthalocyanine,1.588,6328
phthalocyanine,1.595,6328
phthalocyanine,1.591,5435
S10T15HEr,1.64,5435
S5T20HEr,1.61,5435
S10T15HAlEr,1.68,5435
S5T20HAlEr,1.62,9724
CsI,2.018,1449
As40S60,2.06,1215
As40S60,2.066,1046
As40S60,2.085,922
As40S60,2.12,822
As40S60,2.143,748
As40S60,2.149,686
As40S60,2.158,636
As40S60,2.182,595
As40S60,2.207,561
As40S60,2.226,532
As40S60,2.235,509
As40S60,2.178,489
As40S60,2.117,471
As40S60,2.098,5893
PVDF,1.42,
Ba(NO3)2,1.556,
LiIO3,1.84,
KGd(WO4)2,1.986,
CaWO4,1.884,
Ethanolamine,1.454,
2-(Methylamino)ethanol,1.439,
2-(n-Butylamino)ethanol,1.445,
Methanol,1.3288,
Ethanol,1.3611,
n-Propanol,1.385,
Iso-propanol,1.3776,
n-Butanol,1.3993,
n-Octanol,1.4295,
